TRAESCS2D02G443700	CAX1	6.90	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2D02G443700&keyword=yield%2520OR%2520grain
TRAESCS3B02G301700	TRAESCS3B02G301700	5.02	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3B02G301700&keyword=yield%2520OR%2520grain
TRAESCS4A02G251100	TRAESCS4A02G251100	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS4A02G251100&keyword=yield%2520OR%2520grain
TRAESCS4B02G275100	TRAESCS4B02G275100	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS4B02G275100&keyword=yield%2520OR%2520grain
TRAESCS1B02G375500	TRAESCS1B02G375500	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1B02G375500&keyword=yield%2520OR%2520grain
TRAESCS1D02G029200	TRAESCS1D02G029200	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G029200&keyword=yield%2520OR%2520grain
TRAESCS3D02G022600	TRAESCS3D02G022600	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G022600&keyword=yield%2520OR%2520grain
TRAESCS1D02G008000	TRAESCS1D02G008000	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G008000&keyword=yield%2520OR%2520grain
TRAESCS1D02G007800	TRAESCS1D02G007800	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G007800&keyword=yield%2520OR%2520grain
TRAESCS7D02G027700	TRAESCS7D02G027700	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7D02G027700&keyword=yield%2520OR%2520grain
TRAESCS3A02G096300	TRAESCS3A02G096300	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G096300&keyword=yield%2520OR%2520grain
TRAESCS5A02G373400	TRAESCS5A02G373400	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5A02G373400&keyword=yield%2520OR%2520grain
TRAESCS1B02G201700	TRAESCS1B02G201700	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1B02G201700&keyword=yield%2520OR%2520grain
TRAESCS1D02G218700	PEP	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G218700&keyword=yield%2520OR%2520grain
TRAESCS7D02G421700	TRAESCS7D02G421700	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7D02G421700&keyword=yield%2520OR%2520grain
TRAESCS6D02G126000	RIC10	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6D02G126000&keyword=yield%2520OR%2520grain
TRAESCS6B02G198500	TRAESCS6B02G198500	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6B02G198500&keyword=yield%2520OR%2520grain
TRAESCS7B02G484400	TRAESCS7B02G484400	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7B02G484400&keyword=yield%2520OR%2520grain
TRAESCS4B02G260500	NPGR1	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS4B02G260500&keyword=yield%2520OR%2520grain
TRAESCS5B02G010700	RXW8	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5B02G010700&keyword=yield%2520OR%2520grain
TRAESCS5B02G017000	TRAESCS5B02G017000	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5B02G017000&keyword=yield%2520OR%2520grain
TRAESCS3D02G284000	GAUT15	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3D02G284000&keyword=yield%2520OR%2520grain
TRAESCS5D02G562800	TRAESCS5D02G562800	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5D02G562800&keyword=yield%2520OR%2520grain
TRAESCS5D02G562700	TRAESCS5D02G562700	4.20	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5D02G562700&keyword=yield%2520OR%2520grain
TRAESCS6B02G281500	PHB4	4.01	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6B02G281500&keyword=yield%2520OR%2520grain
TRAESCS1D02G240000	FIS1A	3.12	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G240000&keyword=yield%2520OR%2520grain
TRAESCS2D02G549700	TRAESCS2D02G549700	3.12	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2D02G549700&keyword=yield%2520OR%2520grain
TRAESCS2D02G549600	TRAESCS2D02G549600	3.12	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2D02G549600&keyword=yield%2520OR%2520grain
TRAESCS3A02G105500	TRAESCS3A02G105500	3.06	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G105500&keyword=yield%2520OR%2520grain
TRAESCS2B02G042000	TRAESCS2B02G042000	2.46	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2B02G042000&keyword=yield%2520OR%2520grain
TRAESCS6A02G076500	TRAESCS6A02G076500	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6A02G076500&keyword=yield%2520OR%2520grain
TRAESCS5B02G485300	DOT2	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5B02G485300&keyword=yield%2520OR%2520grain
TRAESCS7A02G068800	TRAESCS7A02G068800	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G068800&keyword=yield%2520OR%2520grain
TRAESCS6B02G264600	TRAESCS6B02G264600	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6B02G264600&keyword=yield%2520OR%2520grain
TRAESCS2A02G134500	TRAESCS2A02G134500	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS2A02G134500&keyword=yield%2520OR%2520grain
TRAESCS5A02G398700	TRAESCS5A02G398700	2.24	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS5A02G398700&keyword=yield%2520OR%2520grain
TRAESCS3A02G096200	TRAESCS3A02G096200	1.96	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS3A02G096200&keyword=yield%2520OR%2520grain
TRAESCS1B02G365600	TRAESCS1B02G365600	1.96	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1B02G365600&keyword=yield%2520OR%2520grain
TRAESCS7B02G462400	TRAESCS7B02G462400	1.62	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7B02G462400&keyword=yield%2520OR%2520grain
TRAESCS6D02G275400	TRAESCS6D02G275400	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6D02G275400&keyword=yield%2520OR%2520grain
TRAESCS7B02G031700	TRAESCS7B02G031700	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7B02G031700&keyword=yield%2520OR%2520grain
TRAESCS7A02G451300	TRAESCS7A02G451300	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7A02G451300&keyword=yield%2520OR%2520grain
TRAESCS7D02G538500	TRAESCS7D02G538500	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7D02G538500&keyword=yield%2520OR%2520grain
TRAESCS1D02G007900	TRAESCS1D02G007900	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS1D02G007900&keyword=yield%2520OR%2520grain
TRAESCS7B02G443700	TRAESCS7B02G443700	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7B02G443700&keyword=yield%2520OR%2520grain
TRAESCS6D02G376600	TRAESCS6D02G376600	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS6D02G376600&keyword=yield%2520OR%2520grain
TRAESCS7B02G484300	TRAESCS7B02G484300	0.00	http://knetminer.rothamsted.ac.uk/wheatknet/genepage?list=TRAESCS7B02G484300&keyword=yield%2520OR%2520grain
